City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
275,Lingao,CN,71.19,clear sky,19.9103,109.6859,Lingao Ditai Inn
279,Camana,PE,70.97,overcast clouds,-16.6228,-72.7111,Hostal Morales
284,Kudahuvadhoo,MV,83.8,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
288,Zabol,AF,70.9,clear sky,32.25,67.25,
289,Luganville,VU,79.9,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
292,Najran,SA,88.45,clear sky,17.4924,44.1277,محمد هادي ال فطيح
294,Pucallpa,PE,78.12,very heavy rain,-8.3791,-74.5539,Hotel Sol de Oriente - Pucallpa
295,Manokwari,ID,79.29,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
298,Homa Bay,KE,82.2,few clouds,-0.5273,34.4571,ACK Guest House - Homa Bay
299,Vanimo,PG,78.87,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
301,Bafq,IR,89.17,clear sky,31.6128,55.4107,Alamdar Hotel
305,Santa Cruz,BO,85.46,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
322,Gat,IL,77.4,clear sky,31.61,34.7642,OlusHome
324,Segarcea,RO,71.67,clear sky,44.1,23.75,Cralovati Timis
334,Santa Maria,BR,72.97,clear sky,-29.6842,-53.8069,Hotel Morotin
336,Biak,ID,76.62,overcast clouds,-0.9131,122.8766,Penginapan Kim
338,Poya,NC,77.81,light rain,-21.35,165.15,
339,Soledade,BR,70.97,broken clouds,-28.8183,-52.5103,Pousada Da Gringa
341,Sabang,ID,82.09,overcast clouds,5.8933,95.3214,Hotel Citra
346,Ibirama,BR,76.32,overcast clouds,-27.0569,-49.5178,Hotel Soralete - Grupo Rosablue
347,Kibiti,TZ,85.01,clear sky,-7.7218,38.9375,Experia Guest House
351,Tiarei,PF,80.62,overcast clouds,-17.5333,-149.3333,Le Rocher de Tahiti
352,Robertsport,LR,81.72,light rain,6.7533,-11.3686,Kwepunha Retreat
359,Buala,SB,77.09,heavy intensity rain,-8.145,159.5921,Maringe Lagoon Lodge
361,Erzin,TR,76.71,broken clouds,36.9559,36.2,Artemis Otel
363,Labrea,BR,78.28,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
364,Singaraja,ID,79.43,few clouds,-8.112,115.0882,Puri Bagus Lovina Resort
367,Souillac,MU,79.18,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
369,Nelson Bay,AU,72.0,scattered clouds,-32.7167,152.15,Mantra Nelson Bay
370,Georgetown,MY,81.95,scattered clouds,5.4112,100.3354,Cititel Penang
371,Serenje,ZM,72.36,light rain,-13.2325,30.2352,The Kabaso's
372,Porangatu,BR,87.35,clear sky,-13.4408,-49.1486,Wembley Park Hotel
378,Aksu,CN,70.59,clear sky,41.1231,80.2644,Pudong Holiday Hotel
380,Touros,BR,86.22,light rain,-5.1989,-35.4608,INN NEW HORIZON
381,Amahai,ID,79.36,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
382,Coahuayana,MX,71.44,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
384,San Policarpo,PH,79.29,moderate rain,12.1791,125.5072,Agapita M. Nicart
387,Trimbak,IN,84.92,scattered clouds,19.9333,73.55,OYO 4192 Sai Krupa Hotel
390,Port-Gentil,GA,85.96,scattered clouds,-0.7193,8.7815,Fengshui Residence
392,Paramonga,PE,71.73,scattered clouds,-10.6667,-77.8333,HOSTAL MI CHALET - PARAMONGA
396,Cayenne,GF,84.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
398,Princeton,US,86.02,broken clouds,25.5384,-80.4089,American Best Inn
400,Harrismith,ZA,71.4,clear sky,-28.2728,29.1295,Sir Harry's Estate
401,Mombaca,BR,88.25,scattered clouds,-5.7431,-39.6275,Mombaça Premium Hotel
402,Kaputa,ZM,78.82,light rain,-8.4689,29.6619,Chelelwa Charlets
404,Martaban,MM,85.05,scattered clouds,16.5314,97.6111,Lu Wa Gyi Guest House
406,Bumba,CD,84.0,light rain,2.1833,22.4667,Père Carlos
413,Salalah,OM,82.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
414,Komsomolskiy,UZ,77.72,overcast clouds,40.4272,71.7189,Ikathouse
419,Zamora,EC,72.64,light rain,-4.0692,-78.9567,Cabañas Ecológicas Copalinga
423,Vao,NC,78.58,light rain,-22.6667,167.4833,Hotel Kou-Bugny
427,Acapulco,MX,73.22,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
433,Butterworth,MY,82.06,scattered clouds,5.3991,100.3638,Cititel Penang
436,Axim,GH,85.95,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
438,Cockburn Town,TC,78.53,clear sky,21.4612,-71.1419,Osprey Beach Hotel
440,Antsohihy,MG,83.37,light rain,-14.8796,47.9875,Hotel de Ville
443,Emerald,AU,75.34,clear sky,-23.5333,148.1667,The Irish Village
444,Tura,IN,75.24,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
445,Ambovombe,MG,78.58,clear sky,-25.1667,46.0833,RELAHARA
446,Tema,GH,75.61,thunderstorm with light rain,5.667,-0.0166,Beulah Royale Hotel Tema
448,Kodinar,IN,81.95,broken clouds,20.7903,70.7031,residency of N.B vadhel
449,Lucapa,AO,85.26,overcast clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
452,Tefe,BR,84.31,broken clouds,-3.3542,-64.7114,Aracati Hotel
454,Kawalu,ID,72.05,broken clouds,-7.3817,108.2082,West Jontor
458,Cabedelo,BR,77.67,broken clouds,-6.9811,-34.8339,Hotel Pigalle
459,Yenagoa,NG,89.67,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
461,Sur,OM,85.28,clear sky,22.5667,59.5289,Sur Plaza Hotel
463,Hualmay,PE,72.12,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
465,Sinjar,IQ,80.26,overcast clouds,36.3209,41.8754,زوماني فون 1
466,Iracoubo,GF,79.61,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
467,Chikwawa,MW,88.43,light rain,-16.0335,34.8009,Thawale Lodge
475,Ambilobe,MG,80.83,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
478,Pangoa,PE,78.39,few clouds,-12.1167,-73.0,
