City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
216,Mazatlan,MX,23.2167,-106.4167,67.91,88,0,3.44,clear sky
217,Ahipara,NZ,-35.1667,173.1667,64.6,91,98,8.93,overcast clouds
218,Coihaique,CL,-45.5752,-72.0662,41.61,93,100,4.61,light rain
219,Arlit,NE,18.7369,7.3853,109.53,3,23,14.25,few clouds
220,Monrovia,LR,6.3005,-10.7969,89.37,78,100,8.77,light rain
221,Longyearbyen,SJ,78.2186,15.6401,13.84,62,40,12.66,scattered clouds
222,Olinda,BR,-8.0089,-34.8553,78.53,89,75,2.3,mist
223,Podporozhye,RU,60.9112,34.1706,33.26,73,95,6.35,light snow
224,Honiara,SB,-9.4333,159.95,77.14,97,100,9.75,heavy intensity rain
225,Butaritari,KI,3.0707,172.7902,81.99,72,100,21.79,overcast clouds
226,Harper,LR,4.375,-7.7169,85.05,70,100,7.14,light rain
227,Nampula,MZ,-15.1165,39.2666,73.35,94,20,8.05,few clouds
228,Saint-Francois,FR,46.4154,3.9054,56.68,67,100,6.91,overcast clouds
229,Broome,US,42.2506,-75.833,50.77,80,100,8.05,light rain
230,Santiago Del Estero,AR,-27.7951,-64.2615,78.31,66,7,7.99,clear sky
231,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,77.07,75,100,4.74,overcast clouds
232,Norfolk,US,42.1668,-71.2495,47.82,94,100,8.05,light rain
233,Poum,NC,-20.2333,164.0167,80.82,87,100,39.01,moderate rain
234,Skjervoy,NO,70.0311,20.9714,32.0,66,100,15.97,light snow
235,Kaili,ID,-3.4626,120.2147,66.11,92,100,3.83,overcast clouds
236,Malayal,PH,7.208,121.942,78.26,85,100,5.55,overcast clouds
237,Cherskiy,RU,68.75,161.3,-23.3,100,99,1.95,overcast clouds
238,Inhambane,MZ,-23.865,35.3833,84.18,74,20,13.8,few clouds
239,Bathsheba,BB,13.2167,-59.5167,84.81,61,40,23.02,scattered clouds
240,Putina,PE,-15.4667,-69.4333,46.56,60,12,1.99,few clouds
241,Villacarrillo,ES,38.1156,-3.0848,44.64,79,100,3.71,overcast clouds
242,Launceston,AU,-41.45,147.1667,49.33,81,0,1.99,clear sky
243,Genhe,CN,50.7833,121.5167,7.83,90,8,3.09,clear sky
244,Breves,BR,-1.6822,-50.4803,75.85,91,100,1.48,overcast clouds
245,Menongue,AO,-14.6585,17.691,74.01,66,100,3.76,overcast clouds
246,Luderitz,NA,-26.6481,15.1594,72.7,46,6,28.97,clear sky
247,Coruripe,BR,-10.1256,-36.1756,85.35,52,2,9.06,clear sky
248,Nipawin,CA,53.3668,-104.0009,30.24,93,100,6.91,overcast clouds
249,San Luis De Palenque,CO,5.4214,-71.7317,83.41,67,35,3.18,scattered clouds
250,Kulhudhuffushi,MV,6.6221,73.07,84.22,67,15,6.62,few clouds
251,Rio Branco,BR,-9.9747,-67.81,83.01,78,0,2.3,clear sky
252,Carnarvon,AU,-24.8667,113.6333,78.87,78,75,11.5,broken clouds
253,Dandong,CN,40.1292,124.3947,41.86,40,100,4.41,overcast clouds
254,Taksimo,RU,56.3444,114.8794,12.22,85,100,2.01,overcast clouds
255,Saint-Joseph,RE,-21.3667,55.6167,79.18,83,97,14.23,light rain
256,Baijiantan,CN,45.6333,85.1833,69.98,23,3,2.68,clear sky
257,Kholmogory,RU,64.2229,41.656,33.1,97,100,8.7,light snow
258,Kavieng,PG,-2.5744,150.7967,80.69,84,100,12.84,moderate rain
259,Trudobelikovskiy,RU,45.2686,38.1631,57.72,39,7,8.55,clear sky
260,Antalaha,MG,-14.9003,50.2788,79.36,89,99,9.37,light rain
261,Idrinskoye,RU,54.3708,92.1358,43.11,93,100,4.43,overcast clouds
262,Zaranj,AF,30.9667,61.8833,96.76,8,0,9.42,clear sky
263,Kyren,RU,51.6828,102.1408,41.0,72,100,3.36,overcast clouds
264,Uige,AO,-7.6087,15.0613,86.09,52,82,3.83,broken clouds
265,Srandakan,ID,-7.9386,110.2506,78.8,81,88,1.68,overcast clouds
266,Geraldton,AU,-28.7667,114.6,70.21,83,100,10.36,overcast clouds
267,Bitung,ID,1.4451,125.1824,77.85,82,87,0.65,light rain
268,Husavik,IS,66.0449,-17.3389,27.88,64,100,14.83,overcast clouds
269,Flagstaff,US,35.1981,-111.6513,49.66,46,0,5.14,clear sky
270,Haines Junction,CA,60.7522,-137.5108,14.92,97,66,1.54,broken clouds
271,Tanout,NE,14.9709,8.8879,105.37,3,99,12.59,overcast clouds
272,Hofn,IS,64.2539,-15.2082,35.62,38,20,28.77,few clouds
273,Pouebo,NC,-20.4,164.5667,78.39,93,100,30.78,moderate rain
274,Gamba,GA,-2.65,10.0,83.01,76,98,9.69,light rain
275,Lingao,CN,19.9103,109.6859,71.19,71,7,3.85,clear sky
276,Walvis Bay,NA,-22.9575,14.5053,77.95,44,6,10.36,clear sky
277,Lavrentiya,RU,65.5833,-171.0,-13.32,94,75,8.75,broken clouds
278,Havelock,US,34.8791,-76.9013,69.94,80,1,10.0,clear sky
279,Camana,PE,-16.6228,-72.7111,70.97,77,93,7.05,overcast clouds
280,Uvalde,US,29.3669,-99.767,67.19,29,0,17.27,clear sky
281,Hasaki,JP,35.7333,140.8333,52.2,74,100,5.73,overcast clouds
282,Hauterive,FR,46.0901,3.4459,57.96,78,100,6.91,overcast clouds
283,Lompoc,US,34.6391,-120.4579,64.81,49,5,6.35,clear sky
284,Kudahuvadhoo,MV,2.6708,72.8944,83.8,67,17,4.81,few clouds
285,Ayr,GB,55.4627,-4.6339,50.31,71,40,19.57,scattered clouds
286,Saint-Marc-Des-Carrieres,CA,46.6834,-72.0491,42.46,41,74,4.61,broken clouds
287,Lasa,IT,46.6166,10.7002,56.28,96,99,4.36,overcast clouds
288,Zabol,AF,32.25,67.25,70.9,12,0,10.13,clear sky
289,Luganville,VU,-15.5333,167.1667,79.9,87,100,13.4,overcast clouds
290,Constitucion,CL,-35.3333,-72.4167,63.59,64,9,7.14,clear sky
291,Bereda,ES,43.2686,-7.5406,61.14,56,98,6.62,overcast clouds
292,Najran,SA,17.4924,44.1277,88.45,5,0,15.7,clear sky
293,Ibra,OM,22.6906,58.5334,94.48,13,8,12.57,clear sky
294,Pucallpa,PE,-8.3791,-74.5539,78.12,85,100,1.92,very heavy rain
295,Manokwari,ID,-0.8667,134.0833,79.29,78,100,3.94,overcast clouds
296,Alofi,NU,-19.0595,-169.9187,69.69,94,63,1.14,broken clouds
297,Athabasca,CA,54.7169,-113.2854,34.21,81,100,10.98,overcast clouds
298,Homa Bay,KE,-0.5273,34.4571,82.2,50,21,8.68,few clouds
299,Vanimo,PG,-2.6741,141.3028,78.87,88,100,8.7,overcast clouds
300,Kharp,RU,66.8014,65.8081,16.45,85,100,12.5,overcast clouds
