City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
156,Srednekolymsk,RU,2022-04-03 15:06:55,67.45,153.6833,-18.11,100,70,2.15
157,Port Hedland,AU,2022-04-03 15:06:49,-20.3167,118.5667,82.45,78,0,9.22
158,Port Lincoln,AU,2022-04-03 15:10:10,-34.7333,135.8667,60.46,80,3,5.99
159,Batemans Bay,AU,2022-04-03 15:10:22,-35.7167,150.1833,64.09,51,23,10.69
160,Nikolskoye,RU,2022-04-03 15:10:53,59.7035,30.7861,36.88,80,95,5.48
161,Lagoa,PT,2022-04-03 15:10:53,39.05,-27.9833,59.56,80,7,22.44
162,Baoding,CN,2022-04-03 15:10:54,38.8511,115.4903,52.56,35,0,5.23
163,Linhares,BR,2022-04-03 15:10:54,-19.3911,-40.0722,89.96,48,21,3.18
164,Norman Wells,CA,2022-04-03 15:10:55,65.282,-126.8329,-8.68,98,100,2.39
165,Saint-Francois,FR,2022-04-03 15:10:55,46.4154,3.9054,41.68,60,100,9.22
166,Ballina,AU,2022-04-03 15:09:19,-28.8667,153.5667,66.02,96,22,10.78
167,Lebu,CL,2022-04-03 15:10:56,-37.6167,-73.65,55.31,59,7,9.78
168,Chimbote,PE,2022-04-03 15:10:56,-9.0853,-78.5783,72.9,73,73,6.6
169,Nemuro,JP,2022-04-03 15:10:57,43.3236,145.575,35.69,85,0,16.58
170,Narsaq,GL,2022-04-03 15:10:57,60.9167,-46.05,41.22,60,99,5.59
171,East London,ZA,2022-04-03 15:10:57,-33.0153,27.9116,74.34,82,59,18.99
172,Dodge City,US,2022-04-03 15:10:58,37.7528,-100.0171,58.24,57,0,12.66
173,Ewa Beach,US,2022-04-03 15:11:58,21.3156,-158.0072,74.08,67,0,18.41
174,Sibu,MY,2022-04-03 15:11:59,2.3,111.8167,74.08,97,100,1.59
175,Usak,TR,2022-04-03 15:11:59,38.5,29.4167,56.73,34,100,19.42
176,Waycross,US,2022-04-03 15:11:59,31.2136,-82.354,69.85,43,0,9.22
